"idhod","hodnota","ukaz_kod","vzdelani_cis","vzdelani_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vzdelani_txt","uzemi_txt"
"944985101","50","3162","5784","105","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Doupovské Hradiště"
"944985102","10","3162","5784","109","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Doupovské Hradiště"
"944997871","18","3162","5784","117","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Doupovské Hradiště"
"944985103","1","3162","5784","130","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Doupovské Hradiště"
"944986837","197","3162",,,"43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Kozlov"
"944998022","2","3162","1294","001","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Kozlov"
"945017942","8","3162","1294","900","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Kozlov"
"945031276","40","3162","5181","35450001","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Kozlov"
"945011230","91","3162","5784","105","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Kozlov"
"944985105","16","3162","5784","109","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Kozlov"
"944997872","39","3162","5784","117","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Kozlov"
"944985106","1","3162","5784","130","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Kozlov"
"945005417","91","3162",,,"43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Luboměř pod Strážnou"
"945018045","2","3162","1294","001","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Luboměř pod Strážnou"
"944998024","2","3162","1294","900","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Luboměř pod Strážnou"
"945004716","27","3162","5181","35450001","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Luboměř pod Strážnou"
"944998023","35","3162","5784","105","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Luboměř pod Strážnou"
"945031410","9","3162","5784","109","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Luboměř pod Strážnou"
"945011375","16","3162","5784","117","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Luboměř pod Strážnou"
"945024793","0","3162","5784","130","43","500151","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Luboměř pod Strážnou"
"945005418","448","3162",,,"43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Město Libavá"
"945004718","4","3162","1294","001","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Město Libavá"
"944985363","37","3162","1294","900","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Město Libavá"
"944985361","115","3162","5181","35450001","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Město Libavá"
"944998025","175","3162","5784","105","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Město Libavá"
"945004717","37","3162","5784","109","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Město Libavá"
"945024794","79","3162","5784","117","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Město Libavá"
"944985362","1","3162","5784","130","43","500160","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Město Libavá"
"945012129","157","3162",,,"43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Polná na Šumavě"
"945011521","3","3162","1294","001","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Polná na Šumavě"
"944998154","23","3162","1294","900","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Polná na Šumavě"
"945031552","22","3162","5181","35450001","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Polná na Šumavě"
"944985628","57","3162","5784","105","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Polná na Šumavě"
"945004832","6","3162","5784","109","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Polná na Šumavě"
"945031551","44","3162","5784","117","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Polná na Šumavě"
"945004833","2","3162","5784","130","43","500194","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Polná na Šumavě"
"945025513","1602","3162",,,"43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Veřovice"
"945024930","12","3162","1294","001","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Veřovice"
"945004836","52","3162","1294","900","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Veřovice"
"945011522","497","3162","5181","35450001","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Veřovice"
"945004834","610","3162","5784","105","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Veřovice"
"945004835","226","3162","5784","109","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Veřovice"
"944998155","182","3162","5784","117","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Veřovice"
"945024929","23","3162","5784","130","43","500259","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Veřovice"
"945025514","2313","3162",,,"43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Vřesina"
"945004956","8","3162","1294","001","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Vřesina"
"944985902","69","3162","1294","900","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Vřesina"
"945011658","709","3162","5181","35450001","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Vřesina"
"945004837","603","3162","5784","105","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Vřesina"
"944998298","634","3162","5784","109","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Vřesina"
"944985900","267","3162","5784","117","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Vřesina"
"944985901","23","3162","5784","130","43","500291","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Vřesina"
"944986838","89328","3162",,,"43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Olomouc"
"944998299","390","3162","1294","001","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Olomouc"
"945025046","4171","3162","1294","900","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Olomouc"
"945018289","29547","3162","5181","35450001","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Olomouc"
"945011659","20628","3162","5784","105","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Olomouc"
"945025045","24062","3162","5784","109","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Olomouc"
"945031692","9039","3162","5784","117","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Olomouc"
"944985903","1491","3162","5784","130","43","500496","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Olomouc"
"944986839","1838","3162",,,"43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Bělkovice-Lašťany"
"945018417","6","3162","1294","001","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Bělkovice-Lašťany"
"945011790","79","3162","1294","900","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Bělkovice-Lašťany"
"944986149","571","3162","5181","35450001","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Bělkovice-Lašťany"
